R,G,B,Is Plant
50,236,215,True
177,93,49,False
197,230,53,True
63,68,218,False
222,34,34,False
30,175,177,False
107,236,52,True
219,203,3,False
101,159,67,True
156,56,152,False
36,233,186,True
115,102,80,False
11,14,177,False
20,189,201,False
159,215,96,True
70,19,207,False
84,180,248,False
217,218,56,True
161,87,209,False
46,126,76,True
21,158,135,True
243,55,246,False
189,53,137,False
172,248,168,True
34,222,249,False
175,181,208,False
231,61,238,False
185,95,84,False
220,105,62,False
56,24,170,False
110,16,123,False
47,183,112,True
24,121,115,True
148,100,171,False
10,133,82,True
50,156,91,True
219,236,228,True
61,35,92,False
31,149,35,True
164,185,105,True
20,148,106,True
194,93,238,False
37,114,211,False
116,55,128,False
204,133,118,False
130,113,252,False
21,118,48,True
140,188,34,True
135,216,213,True
136,83,236,False
205,43,253,False
184,147,15,False
155,253,23,True
164,113,153,False
27,18,139,False
73,29,37,False
62,189,105,True
218,230,68,True
252,81,156,False
128,218,37,True
226,90,161,False
111,107,56,True
50,132,102,True
88,119,135,False
185,196,241,False
151,96,145,False
232,181,121,False
85,116,21,True
159,59,153,False
43,138,90,True
186,140,114,False
95,42,129,False
209,0,1,False
17,118,129,False
37,185,137,True
130,33,30,False
103,45,205,False
225,163,159,False
210,151,194,False
131,253,153,True
106,14,197,False
196,249,241,True
176,103,20,False
72,160,74,True
84,153,110,True
6,2,16,False
17,60,27,True
177,123,92,False
133,70,237,False
82,24,229,False
71,97,59,True
125,105,149,False
125,198,133,True
136,124,8,False
230,13,172,False
1,250,55,True
186,99,130,False
67,8,126,False
132,72,44,False
61,253,7,True
157,135,112,False
184,130,190,False
175,37,191,False
229,218,23,False
166,255,24,True
253,41,72,False
57,6,113,False
120,71,138,False
20,67,57,True
42,217,157,True
82,203,252,False
171,68,111,False
92,128,216,False
225,208,105,False
236,62,49,False
189,124,112,False
246,2,54,False
207,228,39,True
115,230,155,True
193,25,25,False
115,26,49,False
242,188,62,False
77,255,218,True
4,251,68,True
210,196,196,False
207,227,125,True
126,236,61,True
19,128,126,True
186,104,27,False
205,250,42,True
206,65,206,False
44,180,186,False
79,228,109,True
220,139,175,False
91,213,142,True
114,21,30,False
8,206,30,True
73,176,161,True
214,156,134,False
20,127,238,False
211,85,252,False
7,89,247,False
238,117,99,False
252,1,45,False
195,249,155,True
27,5,39,False
42,178,54,True
234,255,53,True
60,188,241,False
24,44,85,False
148,146,150,False
168,255,4,True
96,157,61,True
212,179,80,False
65,112,59,True
95,89,146,False
243,158,46,False
205,163,130,False
73,131,76,True
188,107,102,False
94,146,111,True
101,76,118,False
83,162,136,True
86,215,83,True
98,236,215,True
30,215,65,True
89,189,120,True
16,171,38,True
172,67,174,False
186,99,120,False
166,116,221,False
125,24,34,False
138,57,115,False
250,62,143,False
164,67,140,False
100,65,241,False
138,13,199,False
183,83,213,False
186,235,209,True
88,173,199,False
222,215,24,False
34,253,18,True
2,122,141,False
138,3,73,False
76,120,145,False
136,122,236,False
87,174,210,False
208,199,35,False
142,146,77,True
92,64,91,False
215,214,115,False
93,65,164,False
4,182,26,True
69,254,146,True
250,216,7,False
217,101,193,False
232,79,214,False
36,38,101,False
138,248,31,True
16,145,128,True
28,231,127,True
17,94,39,True
100,173,180,False
227,243,186,True
171,172,74,True
189,193,56,True
148,10,63,False
188,76,190,False
162,13,146,False
43,76,95,False
126,126,230,False
169,156,48,False
27,218,94,True
69,204,224,False
36,54,239,False
132,99,34,False
59,224,161,True
149,58,137,False
241,138,254,False
39,25,153,False
162,49,31,False
89,141,57,True
39,63,66,False
73,205,247,False
39,227,132,True
216,93,12,False
19,236,67,True
153,229,103,True
200,8,53,False
187,13,170,False
205,50,148,False
152,175,91,True
209,113,97,False
22,75,124,False
91,79,230,False
218,63,197,False
228,124,98,False
80,78,43,False
207,114,25,False
232,48,11,False
43,50,186,False
100,8,152,False
176,65,255,False
146,208,41,True
11,80,55,True
139,209,0,True
75,74,177,False
165,245,198,True
116,29,216,False
64,72,168,False
179,13,160,False
130,248,31,True
34,49,33,True
175,241,17,True
